asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
player_light_combo_f01_final_v1,player_light_combo_f01_final_v1,../../ORBEngine/assets/innsmouth_island/frame_pair_expansion/final/player/player_light_combo_f01_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,frame_pair_budget3000_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:18:41.550677+00:00,2026-03-12T04:18:41.550677+00:00,2c3bfbbeba9df501314411dde8069247475c558d661107db2effd36982b72c4a,1024,1024,1517408
player_light_combo_f02_precision_v1,player_light_combo_f02_precision_v1,../../ORBEngine/assets/innsmouth_island/frame_pair_expansion/precision/player/player_light_combo_f02_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,frame_pair_budget3000_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:18:42.854955+00:00,2026-03-12T04:18:42.854955+00:00,d62385f3bfaa38e73bd10ff522eebd13856ea46477effaf70c08a8aac4ed488f,1024,1024,1240182
player_light_combo_f01_precision_v1,player_light_combo_f01_precision_v1,../../ORBEngine/assets/innsmouth_island/frame_pair_expansion/precision/player/player_light_combo_f01_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,frame_pair_budget3000_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:18:42.945818+00:00,2026-03-12T04:18:42.945818+00:00,edcbf9ac11e3fb30971695b6e9f93153743d494c4f2cce8dfa386d80402ab1cc,1024,1024,1337421
player_light_combo_f02_final_v1,player_light_combo_f02_final_v1,../../ORBEngine/assets/innsmouth_island/frame_pair_expansion/final/player/player_light_combo_f02_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,frame_pair_budget3000_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:18:44.124396+00:00,2026-03-12T04:18:44.124396+00:00,a8c1ffe7e8bf235091001be0c8a3737225fdfa0aeb4b874566759181e3c96fe3,1024,1024,1796281
player_light_combo_f04_final_v1,player_light_combo_f04_final_v1,../../ORBEngine/assets/innsmouth_island/frame_pair_expansion/final/player/player_light_combo_f04_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,frame_pair_budget3000_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:18:58.190497+00:00,2026-03-12T04:18:58.190497+00:00,70d5997cb40d8d6e4f7d3a7f3e7959165efeb8d73d6009a4923e9f6470021863,1024,1024,1008919
player_light_combo_f03_final_v1,player_light_combo_f03_final_v1,../../ORBEngine/assets/innsmouth_island/frame_pair_expansion/final/player/player_light_combo_f03_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,frame_pair_budget3000_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:18:58.664245+00:00,2026-03-12T04:18:58.664245+00:00,40ec85d5aa40ab33bdae839258efe7d0795b3278a014e4868a89ae8574c8f4ef,1024,1024,1825054
player_light_combo_f03_precision_v1,player_light_combo_f03_precision_v1,../../ORBEngine/assets/innsmouth_island/frame_pair_expansion/precision/player/player_light_combo_f03_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,frame_pair_budget3000_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:19:00.003401+00:00,2026-03-12T04:19:00.003401+00:00,2c39727595cb76b98afe27e23c61114abbe57a62320d300aeb89b5a31f58d079,1024,1024,1763439
player_light_combo_f04_precision_v1,player_light_combo_f04_precision_v1,../../ORBEngine/assets/innsmouth_island/frame_pair_expansion/precision/player/player_light_combo_f04_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,frame_pair_budget3000_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:19:01.044664+00:00,2026-03-12T04:19:01.044664+00:00,bbba46f84baecc366851f5d0dd7143cd250e921ee9e7362e6291a7778bfe8300,1024,1024,1702392
player_heavy_combo_f01_final_v1,player_heavy_combo_f01_final_v1,../../ORBEngine/assets/innsmouth_island/frame_pair_expansion/final/player/player_heavy_combo_f01_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,frame_pair_budget3000_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:19:15.740221+00:00,2026-03-12T04:19:15.740221+00:00,0cca03dfb4a24b89fd708da4140dcf299b06c603ba88e69d32ade79a96a7880c,1024,1024,985331
player_heavy_combo_f01_precision_v1,player_heavy_combo_f01_precision_v1,../../ORBEngine/assets/innsmouth_island/frame_pair_expansion/precision/player/player_heavy_combo_f01_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,frame_pair_budget3000_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:19:16.045688+00:00,2026-03-12T04:19:16.045688+00:00,caa12d92d103f17c998675fbff38868c7bd94be7b52d1ee92deb44799f8e2e7e,1024,1024,1824663
