asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
eggshell_cauldron_empty,eggshell_cauldron_empty,cooking_sim/cauldron_empty.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:18:33.087172+00:00,2026-03-12T04:18:33.087172+00:00,f462693b96cbccb54d400ad71bf33b764479459741d7409009e4489c156ed3ea,1024,1024,1326660
eggshell_cauldron_simmering,eggshell_cauldron_simmering,cooking_sim/cauldron_simmering.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:18:34.049445+00:00,2026-03-12T04:18:34.049445+00:00,01d32d982cdc1c9a25b15f4f25f2522a46dae1bee9b0687c4b8ecdcfdcf775ee,1024,1024,1473568
eggshell_cauldron_burning,eggshell_cauldron_burning,cooking_sim/cauldron_burning.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:18:34.056165+00:00,2026-03-12T04:18:34.056165+00:00,d13820a13628cd33a95f739477926cc5a6003e2ed0e72a116f48b2479e21cd46,1024,1024,1463464
eggshell_cauldron_boiling,eggshell_cauldron_boiling,cooking_sim/cauldron_boiling.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:18:34.062640+00:00,2026-03-12T04:18:34.062640+00:00,445f0785764634703102d637a0dfaa38734226471f6ad7e1a327bd8413bf92aa,1024,1024,1432228
fire_low_embers,fire_low_embers,cooking_sim/fire_low.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:18:47.544320+00:00,2026-03-12T04:18:47.544320+00:00,503dbbee12d96ecbe93ab7c4eb7d615f94a1381693c30ef08bd8a43dba6efcb8,1024,1024,2346223
fire_high_blaze,fire_high_blaze,cooking_sim/fire_high.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:18:48.178228+00:00,2026-03-12T04:18:48.178228+00:00,d51f1f77c60278d90bab749e14161a80579a2c8d7c0dfa829620e4953b3c0f52,1024,1024,2263443
fire_medium_flames,fire_medium_flames,cooking_sim/fire_medium.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:18:48.399443+00:00,2026-03-12T04:18:48.399443+00:00,2a94d3957c74c1de7c311035c9be693040da5d656a64f281f329f80b8eefd5ec,1024,1024,2463973
stirring_ladle_action,stirring_ladle_action,cooking_sim/stir_action.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:18:48.847890+00:00,2026-03-12T04:18:48.847890+00:00,993411445fae62c32a659780d923b549de213b70877ff0788183af68fe5d169b,1024,1024,2075008
ingredient_roots_mushrooms,ingredient_roots_mushrooms,cooking_sim/ingredient_roots_mushroom.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:19:01.710073+00:00,2026-03-12T04:19:01.710073+00:00,f51940885f07d1a4d3dfbaf6caa168cb3b294511be3303ca0095e774bff5f4e2,1024,1024,968984
ingredient_grains_herbs,ingredient_grains_herbs,cooking_sim/ingredient_grains_herbs.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:19:02.469718+00:00,2026-03-12T04:19:02.469718+00:00,180e197166ce8ac10a37d5a00cacd54db8679d3679b7d98e08b91aaf3f20882c,1024,1024,1639886
