asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
ash_censer,ash_censer,authoring/clipstudio/sprites/ash_censer.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:22:41.549370+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:59.201938+00:00,2026-03-12T01:23:59.201938+00:00,d05ec5693f6bfb206c25103b2ebe70df74e38b824d23824a0dccbe755e4eaacd,1024,1024,1620280
shrine_urchin,shrine_urchin,authoring/clipstudio/sprites/shrine_urchin.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:22:43.074255+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:00.552588+00:00,2026-03-12T01:24:00.552588+00:00,e3f929890c4b0381b02fdcbfdbd205848c5df66fb90c7b93833a54f96a5c34ce,1024,1024,2166848
mildew_spearman,mildew_spearman,authoring/clipstudio/sprites/mildew_spearman.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:22:43.323950+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:00.452620+00:00,2026-03-12T01:24:00.452620+00:00,e34446e218f7a7102c5a202ca5b28250664fdd4c91e685190715715e9a442b56,1024,1024,1658949
kier_rat_ronin,kier_rat_ronin,authoring/clipstudio/sprites/kier_rat_ronin.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:22:44.678391+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:59.271230+00:00,2026-03-12T01:23:59.271230+00:00,51f926544c8487abdc3cc0b055edc8478ef0f30d144677c96ea1e5c3e860f3e8,1024,1024,956750
docket_hound,docket_hound,authoring/clipstudio/sprites/docket_hound.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:22:59.525442+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:18.761501+00:00,2026-03-12T01:24:18.761501+00:00,365742a538c8f2c51180f28fb2d7656ee837611c07634a370ad13225e926474d,1024,1024,1654533
vermin_lantern,vermin_lantern,authoring/clipstudio/sprites/vermin_lantern.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:22:59.777693+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:17.341421+00:00,2026-03-12T01:24:17.341421+00:00,770c5bbe37f3f0cfaff006c074210fa44fead6c8212431982781db6b592efcb4,1024,1024,1179247
gutter_flagellant,gutter_flagellant,authoring/clipstudio/sprites/gutter_flagellant.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:00.082136+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:17.932018+00:00,2026-03-12T01:24:17.932018+00:00,434dd2deea6961932232953315eecff89b3cffa727e83ef5be3c56e5661119bf,1024,1024,1941673
reed_sapper,reed_sapper,authoring/clipstudio/sprites/reed_sapper.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:01.190219+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:16.636253+00:00,2026-03-12T01:24:16.636253+00:00,d7328a33198b618740b7c0402d7260a600408959c4c50517897d73eee8ffb001,1024,1024,1319040
briar_monk,briar_monk,authoring/clipstudio/sprites/briar_monk.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:16.006577+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:33.771479+00:00,2026-03-12T01:24:33.771479+00:00,c77773d8cc0f5e1d151285d81e53746e8427822b5dcd49e910dda01578d3d7be,1024,1024,2098256
tar_crow,tar_crow,authoring/clipstudio/sprites/tar_crow.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:17.676070+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:34.667242+00:00,2026-03-12T01:24:34.667242+00:00,61625881f2c0921f85c0d82cf5cf4351821a79d471a162973f67284a8911f19c,1024,1024,1596748
