asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
hallowfen_borderlands_mid_parallax,hallowfen_borderlands_mid_parallax,authoring/clipstudio/tiles/world_buildout/hallowfen_borderlands_mid_parallax.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:26:21.657767+00:00,2026-03-12T03:26:21.657767+00:00,67bb772d364f8d12a2da310cacf26f4c1d45f63bcfe87b609a605d901f4184a5,1024,1024,1467664
hallowfen_borderlands_skyline_backdrop,hallowfen_borderlands_skyline_backdrop,authoring/clipstudio/tiles/world_buildout/hallowfen_borderlands_skyline_backdrop.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:26:21.882519+00:00,2026-03-12T03:26:21.882519+00:00,b4df688856d392379bb8476dd094c873c72f0c135039df01378ceb4f8241a720,1024,1024,1427536
hallowfen_borderlands_far_parallax,hallowfen_borderlands_far_parallax,authoring/clipstudio/tiles/world_buildout/hallowfen_borderlands_far_parallax.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:26:22.674884+00:00,2026-03-12T03:26:22.674884+00:00,3aa921e976c06c6ae1b4c0f108a006396f93721c8443153b2e7840f326be5111,1024,1024,1421484
hallowfen_borderlands_floor_run,hallowfen_borderlands_floor_run,authoring/clipstudio/tiles/world_buildout/hallowfen_borderlands_floor_run.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:26:23.603022+00:00,2026-03-12T03:26:23.603022+00:00,a6e84a0b1841d84772ba7e3096fa5eb832e85a2bc7982e2e061dbaef80e879cd,1024,1024,1324766
hallowfen_borderlands_wall_face,hallowfen_borderlands_wall_face,authoring/clipstudio/tiles/world_buildout/hallowfen_borderlands_wall_face.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:26:39.407582+00:00,2026-03-12T03:26:39.407582+00:00,262217f8038b55c4be209070b37dc99ddd5acbaefcbe4e86e0b6d94eaef94883,1024,1024,1476752
hallowfen_borderlands_wall_corner,hallowfen_borderlands_wall_corner,authoring/clipstudio/tiles/world_buildout/hallowfen_borderlands_wall_corner.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:26:39.877555+00:00,2026-03-12T03:26:39.877555+00:00,e614b8e0d95e90ea159a76fe6546153a1620dd6eefef7e00d6dce2e5df80d77a,1024,1024,1465864
hallowfen_borderlands_floor_broken,hallowfen_borderlands_floor_broken,authoring/clipstudio/tiles/world_buildout/hallowfen_borderlands_floor_broken.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:26:40.023859+00:00,2026-03-12T03:26:40.023859+00:00,0a4bff15ea0c95ff0fb975d0c2377a3bd7e42be2bc0c8afcbc3c93a7d5b0f090,1024,1024,1430294
hallowfen_borderlands_platform_bridge,hallowfen_borderlands_platform_bridge,authoring/clipstudio/tiles/world_buildout/hallowfen_borderlands_platform_bridge.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:26:41.186068+00:00,2026-03-12T03:26:41.186068+00:00,27b0050e48d76ad3e7de6904b91b71f72724c6d2b39f9274d1837cbb0c75f541,1024,1024,1402006
hallowfen_borderlands_traversal_vertical,hallowfen_borderlands_traversal_vertical,authoring/clipstudio/tiles/world_buildout/hallowfen_borderlands_traversal_vertical.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:26:58.028662+00:00,2026-03-12T03:26:58.028662+00:00,7ef02693ecc4c4db65db691dd2162cc93628ad40845a7720cea6c06377758202,1024,1024,1511034
hallowfen_borderlands_gate_arch,hallowfen_borderlands_gate_arch,authoring/clipstudio/tiles/world_buildout/hallowfen_borderlands_gate_arch.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:26:58.560444+00:00,2026-03-12T03:26:58.560444+00:00,d89a51507a3ea6d4bf49fa39576218a6d3b19c49247b03dcfb841c5bcf4bd6e9,1024,1024,1474040
hallowfen_borderlands_hazard_overlay,hallowfen_borderlands_hazard_overlay,authoring/clipstudio/tiles/world_buildout/hallowfen_borderlands_hazard_overlay.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:26:59.213118+00:00,2026-03-12T03:26:59.213118+00:00,12f5212b5d8407b755a4cee7a00f002ada3009938d3c68a7b9f3f92e86481a0b,1024,1024,1435340
hallowfen_borderlands_landmark_setpiece,hallowfen_borderlands_landmark_setpiece,authoring/clipstudio/tiles/world_buildout/hallowfen_borderlands_landmark_setpiece.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:26:59.436941+00:00,2026-03-12T03:26:59.436941+00:00,47828b80e7e2924f6b451e7c76a070d6c03531adfea55706c8a2eb128271833b,1024,1024,1369962
tribunal_causeway_skyline_backdrop,tribunal_causeway_skyline_backdrop,authoring/clipstudio/tiles/world_buildout/tribunal_causeway_skyline_backdrop.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:27:16.206800+00:00,2026-03-12T03:27:16.206800+00:00,fd42ac713e41d6ab0bc4332159bc73e8f3d272b3cc69e29d650112dbf0c330c4,1024,1024,1377830
tribunal_causeway_far_parallax,tribunal_causeway_far_parallax,authoring/clipstudio/tiles/world_buildout/tribunal_causeway_far_parallax.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:27:17.645015+00:00,2026-03-12T03:27:17.645015+00:00,c17ee3ad850458743ba49c70a2f44cef073519132dafa9025a543bac3b0cd6ea,1024,1024,1499998
tribunal_causeway_floor_run,tribunal_causeway_floor_run,authoring/clipstudio/tiles/world_buildout/tribunal_causeway_floor_run.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:27:18.676543+00:00,2026-03-12T03:27:18.676543+00:00,1a0e32cb0349bd0e264aacc8671dc757117fcde697bd8617e076b76dd74a9e2d,1024,1024,1453436
tribunal_causeway_mid_parallax,tribunal_causeway_mid_parallax,authoring/clipstudio/tiles/world_buildout/tribunal_causeway_mid_parallax.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:27:19.621065+00:00,2026-03-12T03:27:19.621065+00:00,c27e9c3e2199e435df7814f71c1978dafe95df50c014c648ae67256762b522dd,1024,1024,1555030
tribunal_causeway_floor_broken,tribunal_causeway_floor_broken,authoring/clipstudio/tiles/world_buildout/tribunal_causeway_floor_broken.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:27:36.187918+00:00,2026-03-12T03:27:36.187918+00:00,947637e28f737bfe689668ff6e71cb9a5baea227bc60faeddee76a781072ec92,1024,1024,1531024
tribunal_causeway_wall_face,tribunal_causeway_wall_face,authoring/clipstudio/tiles/world_buildout/tribunal_causeway_wall_face.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:27:36.588124+00:00,2026-03-12T03:27:36.588124+00:00,3bf0490b118bfc9fff3781b7c467b8069dd2bebc2d4b74699929bc82e1a0fba0,1024,1024,1545620
tribunal_causeway_wall_corner,tribunal_causeway_wall_corner,authoring/clipstudio/tiles/world_buildout/tribunal_causeway_wall_corner.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:27:36.620529+00:00,2026-03-12T03:27:36.620529+00:00,25f22c876665396d00ea4475fb6d99b3276bae55318b4e8b3ce4bc40663005c3,1024,1024,1498382
tribunal_causeway_platform_bridge,tribunal_causeway_platform_bridge,authoring/clipstudio/tiles/world_buildout/tribunal_causeway_platform_bridge.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:27:38.254394+00:00,2026-03-12T03:27:38.254394+00:00,f5e565a1b9e87bd669774afe0b45faa5b992ca07ceac3952f17e6f463a5c5f01,1024,1024,1456116
tribunal_causeway_gate_arch,tribunal_causeway_gate_arch,authoring/clipstudio/tiles/world_buildout/tribunal_causeway_gate_arch.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:27:54.175289+00:00,2026-03-12T03:27:54.175289+00:00,61d4454bb815d3b8d72845a7f63937726d386a53ef8f0c93e5e80592a2b00e37,1024,1024,1572156
tribunal_causeway_traversal_vertical,tribunal_causeway_traversal_vertical,authoring/clipstudio/tiles/world_buildout/tribunal_causeway_traversal_vertical.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:27:54.523364+00:00,2026-03-12T03:27:54.523364+00:00,cdb9ab02f402f35f32fd60f58a2d41bc03c7b13adfe4984b4e8528558ddf0c40,1024,1024,1480432
tribunal_causeway_hazard_overlay,tribunal_causeway_hazard_overlay,authoring/clipstudio/tiles/world_buildout/tribunal_causeway_hazard_overlay.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:27:55.350972+00:00,2026-03-12T03:27:55.350972+00:00,492a2913f0ac6eb57aa18811010969866879b68d70e00d4beb4a842d773d6546,1024,1024,1419450
tribunal_causeway_landmark_setpiece,tribunal_causeway_landmark_setpiece,authoring/clipstudio/tiles/world_buildout/tribunal_causeway_landmark_setpiece.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:27:58.155551+00:00,2026-03-12T03:27:58.155551+00:00,55ebddd481ada3dc277e3028ba27207257173142c7fc93b15b6216827c273f8b,1024,1024,1538264
salt_forest_canopy_far_parallax,salt_forest_canopy_far_parallax,authoring/clipstudio/tiles/world_buildout/salt_forest_canopy_far_parallax.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:28:12.592251+00:00,2026-03-12T03:28:12.592251+00:00,bf6beaa55340c110f0932ec18ae541ec4e18f3b93e07dbe4aff4004c8518bdeb,1024,1024,1506978
salt_forest_canopy_mid_parallax,salt_forest_canopy_mid_parallax,authoring/clipstudio/tiles/world_buildout/salt_forest_canopy_mid_parallax.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:28:15.633480+00:00,2026-03-12T03:28:15.633480+00:00,0c6329992c69d7f93a56f263cd22269c33ed49dacba4ef13976e434b94461c68,1024,1024,1572408
salt_forest_canopy_skyline_backdrop,salt_forest_canopy_skyline_backdrop,authoring/clipstudio/tiles/world_buildout/salt_forest_canopy_skyline_backdrop.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:28:15.659940+00:00,2026-03-12T03:28:15.659940+00:00,4f3504bbe85655325b51eae7fb74851e89f032226abf20dbff8e229d40a45824,1024,1024,1620548
salt_forest_canopy_floor_run,salt_forest_canopy_floor_run,authoring/clipstudio/tiles/world_buildout/salt_forest_canopy_floor_run.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T03:28:16.675829+00:00,2026-03-12T03:28:16.675829+00:00,221e62a529f14c5f71e118b9da6b9bc27b55daf0472fcfa38c1ddc2b8ac6fa63,1024,1024,1622190
