asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
auth_probe,manual_probe,c:\Users\rrcar\Documents\drIpTECH\ORBEngine\assets\innsmouth_island\recraft_auth_probe.png,Manual API verification prompt for configured user key,,User-owned Recraft account output,Direct API generation,probe_1,generated,Successful real probe generation on 2026-03-11 using POST /v1/images/generations with model=recraftv4 size=1024x1024 response_format=b64_json,,,1024,1024,1160674
environment_props_test,manual_test_from_manifest,c:\Users\rrcar\Documents\drIpTECH\ORBEngine\assets\innsmouth_island\innsmouth_environment_props_sheet_v2_test.png,Prompt copied from innsmouth_environment_props_sheet_v2 manifest entry and normalized to supported V4 size,,User-owned Recraft account output,Direct API generation,test_1,generated,Successful real production test asset on 2026-03-11 using model=recraftv4 size=1536x768; generated separately to avoid overwriting planned deliverable,,,1536,768,1526254
player_master,innsmouth_player_master_sheet_v2,../../ORBEngine/assets/innsmouth_island/innsmouth_player_master_sheet_v2.png,In-repo gameplay taxonomy plus benchmark standards,https://opengameart.org/; https://kenney.nl/assets; https://lpc.opengameart.org/,Internal authored prompt; no external asset import,Prompt generation only,v2,planned,"Benchmark goal: full motion family coverage, consistent silhouette and pivot discipline",,,,,
enemy_roster,innsmouth_enemy_roster_sheet_v2,../../ORBEngine/assets/innsmouth_island/innsmouth_enemy_roster_sheet_v2.png,In-repo enemy roster plus benchmark standards,https://opengameart.org/; https://lpc.opengameart.org/,Internal authored prompt; no external asset import,Prompt generation only,v2,planned,Benchmark goal: roster completeness and style-guide consistency,,,,,
enemy_action,innsmouth_enemy_action_atlas_v2,../../ORBEngine/assets/innsmouth_island/innsmouth_enemy_action_atlas_v2.png,In-repo enemy behavior states plus benchmark standards,https://kenney.nl/assets; https://lpc.opengameart.org/,Internal authored prompt; no external asset import,Prompt generation only,v2,planned,Benchmark goal: family-complete motion atlas,,,,,
boss_action,innsmouth_boss_duo_action_atlas_v2,../../ORBEngine/assets/innsmouth_island/innsmouth_boss_duo_action_atlas_v2.png,In-repo boss phases plus benchmark standards,https://opengameart.org/; https://lpc.opengameart.org/,Internal authored prompt; no external asset import,Prompt generation only,v2,planned,Benchmark goal: phase-readable boss sheet,,,,,
melee_weapons,innsmouth_melee_weapon_atlas_v2,../../ORBEngine/assets/innsmouth_island/innsmouth_melee_weapon_atlas_v2.png,In-repo weapon catalog plus benchmark standards,https://kenney.nl/assets,Internal authored prompt; no external asset import,Prompt generation only,v2,planned,Benchmark goal: modular kit completeness,,,,,
projectile_weapons,innsmouth_projectile_weapon_atlas_v2,../../ORBEngine/assets/innsmouth_island/innsmouth_projectile_weapon_atlas_v2.png,In-repo throwable and ranged catalog plus benchmark standards,https://kenney.nl/assets,Internal authored prompt; no external asset import,Prompt generation only,v2,planned,Benchmark goal: support asset completeness,,,,,
armor_sets,innsmouth_armor_set_atlas_v2,../../ORBEngine/assets/innsmouth_island/innsmouth_armor_set_atlas_v2.png,In-repo armor catalog plus benchmark standards,https://kenney.nl/assets; https://lpc.opengameart.org/,Internal authored prompt; no external asset import,Prompt generation only,v2,planned,Benchmark goal: swappable modular piece coverage,,,,,
pickups_shelters,innsmouth_pickups_and_shelters_atlas_v2,../../ORBEngine/assets/innsmouth_island/innsmouth_pickups_and_shelters_atlas_v2.png,In-repo pickup and MurkShelter systems plus benchmark standards,https://kenney.nl/assets,Internal authored prompt; no external asset import,Prompt generation only,v2,planned,Benchmark goal: gameplay-support completeness,,,,,
