date,home_team,away_team,home_score,away_score
2025-08-01,TeamA,TeamB,2,1
2025-08-02,TeamC,TeamD,0,0
2025-08-03,TeamB,TeamC,1,3
2025-08-04,TeamD,TeamA,0,2
2025-08-05,TeamA,TeamC,1,1
2025-08-06,TeamB,TeamD,2,0
2025-08-07,TeamC,TeamA,0,1
2025-08-08,TeamD,TeamB,1,2
2025-08-09,TeamA,TeamB,3,1
2025-08-10,TeamC,TeamD,2,2
2025-08-11,TeamB,TeamC,0,0
2025-08-12,TeamD,TeamA,1,4
2025-08-13,TeamA,TeamC,2,0
2025-08-14,TeamB,TeamD,1,1
2025-08-15,TeamC,TeamA,1,2
2025-08-16,TeamD,TeamB,0,3
2025-08-17,TeamA,TeamB,0,0
2025-08-18,TeamC,TeamD,1,1
2025-08-19,TeamB,TeamC,2,2
2025-08-20,TeamD,TeamA,0,1
