asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
room_stove_niche,room_stove_niche,assets/rooms/stove_niche.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:10.582659+00:00,2026-03-12T04:28:10.582659+00:00,8a5d49a7c72d1ec700a0521e38bf578a14244a33655b31cea812b6be4f795b5f,1344,768,1392500
room_courtyard,room_courtyard,assets/rooms/courtyard.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:10.734395+00:00,2026-03-12T04:28:10.734395+00:00,ca91f923c02f2af52716d31ed63cb5c0ca50bd27bebeecb712852b8453e739a7,1344,768,1574842
room_curtain_flat,room_curtain_flat,assets/rooms/curtain_flat.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:16.352090+00:00,2026-03-12T04:28:16.352090+00:00,c1e215f5283ede6d6defe9d445470b58f24082a0a20910c935717934b772e169,1344,768,1483750
room_stairwell,room_stairwell,assets/rooms/stairwell.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:16.490572+00:00,2026-03-12T04:28:16.490572+00:00,a9af79ef3383f949b2712b199b33b5c96ca286435f2212453b33984dce24c58e,1344,768,1550810
room_service_shaft,room_service_shaft,assets/rooms/service_shaft.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:26.274603+00:00,2026-03-12T04:28:26.274603+00:00,7d7c7c411fa4341e748f2f3fea3c661c4bf2505dcdce092aa540ffd0fa25afc1,1344,768,1478366
room_black_road_vault,room_black_road_vault,assets/rooms/black_road_vault.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:26.445112+00:00,2026-03-12T04:28:26.445112+00:00,e7d0f61bc85ea2fa9c9597e403a852580c516d601a3a364c0e694068fa29f1fc,1344,768,1550824
enfant_walk,enfant_walk,assets/enfant/enfant_walk.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:31.401358+00:00,2026-03-12T04:28:31.401358+00:00,79513203d8a5021056a4885639a6196924161b8066e30762e3b653899f03a804,1024,1024,1509200
enfant_idle,enfant_idle,assets/enfant/enfant_idle.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:31.901298+00:00,2026-03-12T04:28:31.901298+00:00,71b6305b91b9db144df10f5ad8f29f1057e97e0fd736d836838dad27fc33e3b4,1024,1024,1506220
enfant_fear,enfant_fear,assets/enfant/enfant_fear.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:42.865067+00:00,2026-03-12T04:28:42.865067+00:00,104994a438e7d8a751401099cf57561ab8e06248e6408f35196194145b11790a,1024,1024,1686532
enfant_hide,enfant_hide,assets/enfant/enfant_hide.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:43.727335+00:00,2026-03-12T04:28:43.727335+00:00,1d07962d14b467c4b3ae562791eef23bc63e36ca96208b041660f58180cdfc63,1024,1024,1411258
enfant_ritual,enfant_ritual,assets/enfant/enfant_ritual.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:46.266652+00:00,2026-03-12T04:28:46.266652+00:00,47880ca8b188a963f35daa895b3ba98982d97c9523c6f2df7e8c95c503aedf18,1024,1024,1607344
threat_domov_keeper,threat_domov_keeper,assets/threats/domov_keeper.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:47.664524+00:00,2026-03-12T04:28:47.664524+00:00,76cb8b4f189dd54079828aa59704eafb67d017aacf459eb85c9b549e87e2fc37,1024,1024,1504620
threat_keyhole_kikimora,threat_keyhole_kikimora,assets/threats/keyhole_kikimora.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:58.841277+00:00,2026-03-12T04:28:58.841277+00:00,032520d1c86d8bf884fbee1f20ef4e4252406a4ea1a11fa8e3b97242967e9078,1024,1024,1468380
threat_chauffeur,threat_chauffeur,assets/threats/chauffeur.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:59.779718+00:00,2026-03-12T04:28:59.779718+00:00,c3296b50ee7d171230787bb2993f16322303a0b8595e7036408e8cbd6b997d29,1024,1024,1531276
threat_crepulin_bloom,threat_crepulin_bloom,assets/threats/crepulin_bloom.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:29:02.437201+00:00,2026-03-12T04:29:02.437201+00:00,bf71501f27b2968773fb1ab3a8fd09e8b22af045c204d78b3094dd282af4bbe9,1024,1024,1579630
