asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
duo_silhouette_language,duo_silhouette_language,recraft_assets\03_duo_silhouette_language.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:33:45.923545+00:00,2026-03-12T21:33:45.923545+00:00,c9bd296a0896711f410d73523a493f58617c0d8c85b5cae6b704f1f58b428540,1344,768,1509776
bango_anatomy_wardrobe,bango_anatomy_wardrobe,recraft_assets\04_bango_anatomy_wardrobe.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:33:46.154932+00:00,2026-03-12T21:33:46.154932+00:00,303bc4cbeaa777310ac97dd2e808ddbba45ace55d00c16377a23c318e99bd3f3,1344,768,1315478
cover_underhive_nocturne,cover_underhive_nocturne,recraft_assets\01_cover_underhive_nocturne.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:33:47.242350+00:00,2026-03-12T21:33:47.242350+00:00,753ed6cc455beffae789bef82eed4f75046bbd736e48a2b4aaf90ea743641eec,1344,768,1394394
premise_duo_fantasy,premise_duo_fantasy,recraft_assets\02_premise_duo_fantasy.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:33:48.129503+00:00,2026-03-12T21:33:48.129503+00:00,9468b67bf50a852bfd2ac04c2c32e9b3a81e7064c39a9078a6ee873c2a71a9c0,1344,768,1533030
patoot_anatomy_motion,patoot_anatomy_motion,recraft_assets\05_patoot_anatomy_motion.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:34:05.912626+00:00,2026-03-12T21:34:05.912626+00:00,4c10d95d475f38c8f65f392e6b984255cf91672765eb584cafa511dfd60e0a21,1344,768,1353094
tula_memory_anchor,tula_memory_anchor,recraft_assets\06_tula_memory_anchor.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:34:06.118223+00:00,2026-03-12T21:34:06.118223+00:00,b2011aa9a17afc5ac2ec4d74bbc5ca5458ac64dfd220498997a1223838a1b486,1344,768,1584076
matra_vey_cyberwitch,matra_vey_cyberwitch,recraft_assets\07_matra_vey_cyberwitch.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:34:06.586457+00:00,2026-03-12T21:34:06.586457+00:00,b01e9d552e2aeaf49f9ab94bafc1da89b4dca9dbadb044e6e2a3f4d14b467510,1344,768,1344694
mother_comb_edda,mother_comb_edda,recraft_assets\08_mother_comb_edda.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:34:07.882706+00:00,2026-03-12T21:34:07.882706+00:00,6327b0fcab12f9de338ad756c7a2ade606767731e6588d8cc3975b7190b263a8,1344,768,1602996
vilm_siltcoat,vilm_siltcoat,recraft_assets\09_vilm_siltcoat.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:34:22.963686+00:00,2026-03-12T21:34:22.963686+00:00,3f67cc8ed3e91a09a9ba0caca71f7daff20f051ef2e56df8339a4e73e74a0363,1344,768,1612900
sister_halceon,sister_halceon,recraft_assets\10_sister_halceon.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:34:23.444608+00:00,2026-03-12T21:34:23.444608+00:00,635c5abf99c8a3c214167286d3a708a224f357a56d5a56aa1889179c3936764d,1344,768,1505734
